"long","lat","age"
121.50461,25.12872,5
121.50459,25.12877,5
121.50457,25.12883,5
121.50471,25.12883,5
121.52701,25.0872,5
121.58306,25.08488,5
121.54036,25.11037,5
121.55922,25.08273,5
121.50015,25.09117,5
121.5001,25.09122,5
121.61651,25.04371,5
121.51931,25.15,5
121.54314,25.04837,5
121.5592,25.01685,5
121.55929,25.01684,5
121.51778,25.06783,5
121.53236,25.03414,5
121.52494,25.09578,5
121.51157,25.11088,5
121.51147,25.11097,5
121.51133,25.11106,5
121.60973,25.07234,5
121.54269,25.05055,5
121.56563,25.08649,5
121.59187,25.07879,5
121.59185,25.07885,5
121.52647,25.01906,5
121.50312,25.04149,5
121.50311,25.04154,5
121.50307,25.04154,5
121.50297,25.04154,5
121.50296,25.0415,5
121.50302,25.04155,5
121.52947,25.03967,5
121.52953,25.03966,5
121.49826,25.0245,5
121.49822,25.0245,5
121.49816,25.0245,5
121.49809,25.0245,5
121.49803,25.0245,5
121.49799,25.0245,5
121.49823,25.02421,5
121.4981,25.02417,5
121.57297,25.06367,5
121.57313,25.06369,5
121.57328,25.06369,5
121.57332,25.06388,5
121.57316,25.06386,5
121.57314,25.06404,5
121.57322,25.06422,5
121.57308,25.06421,5
121.57293,25.06419,5
121.51852,25.10703,5
121.51861,25.10698,5
121.5184,25.10692,5
121.49837,25.13445,5
121.49826,25.13445,5
121.49837,25.13453,5
121.49827,25.13454,5
